kind,url,issue_ids,verdict
"HTML","/chord-progressions","N01|N03","FIX_SHARED"
"HTML","/chords/a-7","F04|F07","FIX_SHARED"
"HTML","/chords/a-add9","F04|F07","FIX_SHARED"
"HTML","/chords/a-augmented","F04|F07","FIX_SHARED"
"HTML","/chords/a-diminished","F04|F07","FIX_SHARED"
"HTML","/chords/a-flat-7","F04|F07","FIX_SHARED"
"HTML","/chords/a-flat-add9","F04|F07","FIX_SHARED"
"HTML","/chords/a-flat-augmented","F04|F07","FIX_SHARED"
"HTML","/chords/a-flat-diminished","F04|F07","FIX_SHARED"
"HTML","/chords/a-flat-m7","F04|F07","FIX_SHARED"
"HTML","/chords/a-flat-m7-flat5","F04|F07","FIX_SHARED"
"HTML","/chords/a-flat-madd9","F04|F07","FIX_SHARED"
"HTML","/chords/a-flat-maj7","F04|F07","FIX_SHARED"
"HTML","/chords/a-flat-sus2","F04|F07","FIX_SHARED"
"HTML","/chords/a-flat-sus4","F04|F07","FIX_SHARED"
"HTML","/chords/a-m7","F04|F07","FIX_SHARED"
"HTML","/chords/a-m7-flat5","F04|F07","FIX_SHARED"
"HTML","/chords/a-madd9","F04|F07","FIX_SHARED"
"HTML","/chords/a-maj7","F04|F07","FIX_SHARED"
"HTML","/chords/a-minor","F05","ENHANCE_SPECIFIC"
"HTML","/chords/a-sus2","F04|F07","FIX_SHARED"
"HTML","/chords/a-sus4","F04|F07","FIX_SHARED"
"HTML","/chords/add","V02","FIX_SHARED"
"HTML","/chords/altered","N03","FIX_SHARED"
"HTML","/chords/augmented","V02","FIX_SHARED"
"HTML","/chords/b-7","F04|F07","FIX_SHARED"
"HTML","/chords/b-add9","F04|F07","FIX_SHARED"
"HTML","/chords/b-augmented","F04|F07","FIX_SHARED"
"HTML","/chords/b-diminished","F04|F07","FIX_SHARED"
"HTML","/chords/b-flat-7","F04|F07","FIX_SHARED"
"HTML","/chords/b-flat-add9","F04|F07","FIX_SHARED"
"HTML","/chords/b-flat-augmented","F04|F07","FIX_SHARED"
"HTML","/chords/b-flat-diminished","F04|F07","FIX_SHARED"
"HTML","/chords/b-flat-m7","F04|F07","FIX_SHARED"
"HTML","/chords/b-flat-m7-flat5","F04|F07","FIX_SHARED"
"HTML","/chords/b-flat-madd9","F04|F07","FIX_SHARED"
"HTML","/chords/b-flat-maj7","F04|F07","FIX_SHARED"
"HTML","/chords/b-flat-major","F04|F06","ENHANCE_SPECIFIC"
"HTML","/chords/b-flat-minor","F04","FIX_SHARED"
"HTML","/chords/b-flat-sus2","F04|F07","FIX_SHARED"
"HTML","/chords/b-flat-sus4","F04|F07","FIX_SHARED"
"HTML","/chords/b-m7","F04|F07","FIX_SHARED"
"HTML","/chords/b-m7-flat5","F04|F07","FIX_SHARED"
"HTML","/chords/b-madd9","F04|F07","FIX_SHARED"
"HTML","/chords/b-maj7","F04|F07","FIX_SHARED"
"HTML","/chords/b-minor","F04","FIX_SHARED"
"HTML","/chords/b-sus2","F04|F07","FIX_SHARED"
"HTML","/chords/b-sus4","F04|F07","FIX_SHARED"
"HTML","/chords/by-key","F01|F02|N03","ENHANCE_SPECIFIC"
"HTML","/chords/c-7","F04|F07","FIX_SHARED"
"HTML","/chords/c-add9","F04|F07","FIX_SHARED"
"HTML","/chords/c-augmented","F07|F04","FIX_SHARED"
"HTML","/chords/c-diminished","F07|F06|F04","ENHANCE_SPECIFIC"
"HTML","/chords/c-m7","F04|F07","FIX_SHARED"
"HTML","/chords/c-m7-flat5","F04|F07","FIX_SHARED"
"HTML","/chords/c-madd9","F04|F07","FIX_SHARED"
"HTML","/chords/c-maj7","F07|F04","FIX_SHARED"
"HTML","/chords/c-sharp-minor","F04|F06","ENHANCE_SPECIFIC"
"HTML","/chords/c-sus2","N02|F07|F04","FIX_SHARED"
"HTML","/chords/c-sus4","F04|F07","FIX_SHARED"
"HTML","/chords/d-7","F04|F07","FIX_SHARED"
"HTML","/chords/d-add9","F04|F07","FIX_SHARED"
"HTML","/chords/d-augmented","F04|F07","FIX_SHARED"
"HTML","/chords/d-diminished","F07|F04","FIX_SHARED"
"HTML","/chords/d-flat-7","F04|F07","FIX_SHARED"
"HTML","/chords/d-flat-add9","F04|F07","FIX_SHARED"
"HTML","/chords/d-flat-augmented","F04|F07","FIX_SHARED"
"HTML","/chords/d-flat-diminished","F07|F04","FIX_SHARED"
"HTML","/chords/d-flat-m7","F04|F07","FIX_SHARED"
"HTML","/chords/d-flat-m7-flat5","F04|F07","FIX_SHARED"
